,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc
bare,1,0.472158744,NA,NA,-0.694854754,-0.796064601,-0.090959202,0.472158744,-0.239846508,0.428374538,0.581532839,0.472158744,-0.239846508,-0.246953276,0.581532839,-1,NA,NA,NA,NA
halodule,0.472158744,1,NA,NA,-0.32736537,-0.38243824,-0.081936334,1,0.21821789,-0.108871405,-0.169268207,1,0.21821789,-0.368068165,-0.169268207,-0.472158744,NA,NA,NA,NA
zostera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ruppia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algae,-0.694854754,-0.32736537,NA,NA,1,0.78213274,-0.333378296,-0.32736537,0.500058863,0.104320975,-0.098162569,-0.32736537,0.500058863,0.693506156,-0.098162569,0.694854754,NA,NA,NA,NA
oyster,-0.796064601,-0.38243824,NA,NA,0.78213274,1,-0.528988057,-0.38243824,0.470369268,-0.05942952,-0.197298982,-0.38243824,0.470369268,0.293529169,-0.197298982,0.796064601,NA,NA,NA,NA
saltmarsh,-0.090959202,-0.081936334,NA,NA,-0.333378296,-0.528988057,1,-0.081936334,-0.467049371,-0.49405879,-0.468659186,-0.081936334,-0.467049371,-0.145830558,-0.468659186,0.090959202,NA,NA,NA,NA
other,0.472158744,1,NA,NA,-0.32736537,-0.38243824,-0.081936334,1,0.21821789,-0.108871405,-0.169268207,1,0.21821789,-0.368068165,-0.169268207,-0.472158744,NA,NA,NA,NA
richness,-0.239846508,0.21821789,NA,NA,0.500058863,0.470369268,-0.467049371,0.21821789,1,0.421647183,-0.021855855,0.21821789,1,0.56223341,-0.021855855,0.239846508,NA,NA,NA,NA
shannonD,0.428374538,-0.108871405,NA,NA,0.104320975,-0.05942952,-0.49405879,-0.108871405,0.421647183,1,0.875804251,-0.108871405,0.421647183,0.546790054,0.875804251,-0.428374538,NA,NA,NA,NA
evenness,0.581532839,-0.169268207,NA,NA,-0.098162569,-0.197298982,-0.468659186,-0.169268207,-0.021855855,0.875804251,1,-0.169268207,-0.021855855,0.24134076,1,-0.581532839,NA,NA,NA,NA
seagrass_comb,0.472158744,1,NA,NA,-0.32736537,-0.38243824,-0.081936334,1,0.21821789,-0.108871405,-0.169268207,1,0.21821789,-0.368068165,-0.169268207,-0.472158744,NA,NA,NA,NA
richness_comb,-0.239846508,0.21821789,NA,NA,0.500058863,0.470369268,-0.467049371,0.21821789,1,0.421647183,-0.021855855,0.21821789,1,0.56223341,-0.021855855,0.239846508,NA,NA,NA,NA
shannonD_comb,-0.246953276,-0.368068165,NA,NA,0.693506156,0.293529169,-0.145830558,-0.368068165,0.56223341,0.546790054,0.24134076,-0.368068165,0.56223341,1,0.24134076,0.246953276,NA,NA,NA,NA
evenness_comb,0.581532839,-0.169268207,NA,NA,-0.098162569,-0.197298982,-0.468659186,-0.169268207,-0.021855855,0.875804251,1,-0.169268207,-0.021855855,0.24134076,1,-0.581532839,NA,NA,NA,NA
totalcover,-1,-0.472158744,NA,NA,0.694854754,0.796064601,0.090959202,-0.472158744,0.239846508,-0.428374538,-0.581532839,-0.472158744,0.239846508,0.246953276,-0.581532839,1,NA,NA,NA,NA
avg_shoot_density,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avg_blade_length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
max_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
max_25perc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
